Country name,Country code,Year,Number of deaths from disasters,Number of people injured from disasters,Number of total people affected by disasters,Number of people left homeless from disasters,Total economic damages from disasters as a share of GDP,Number of deaths from drought,Number of people injured from drought,Number of total people affected by drought,Number of people left homeless from drought,Total economic damages from drought as a share of GDP,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Number of people left homeless from earthquakes,Total economic damages from earthquakes as a share of GDP,Number of deaths from volcanic activity,Number of people injured from volcanic activity,Number of total people affected by volcanic activity,Number of people left homeless from volcanic activity,Total economic damages from volcanic activity as a share of GDP,Number of deaths from floods,Number of people injured from floods,Number of total people affected by floods,Number of people left homeless from floods,Total economic damages from floods as a share of GDP,Number of deaths from mass movements,Number of people injured from mass movements,Number of total people affected by mass movements,Number of people left homeless from mass movements,Total economic damages from mass movements as a share of GDP,Number of deaths from storms,Number of people injured from storms,Number of total people affected by storms,Number of people left homeless from storms,Total economic damages from storms as a share of GDP,Number of deaths from landslides,Number of people injured from landslides,Number of total people affected by landslides,Number of people left homeless from landslides,Total economic damages from landslides as a share of GDP,Number of deaths from wildfires,Number of people injured from wildfires,Number of total people affected by wildfires,Number of people left homeless from wildfires,Total economic damages from wildfires as a share of GDP,Number of deaths from extreme temperatures,Number of people injured from extreme temperatures,Number of total people affected by extreme temperatures,Number of people left homeless from extreme temperatures,Total economic damages from extreme temperatures as a share of GDP
Lithuania,LTU,2020,203649,140966,4193830,1823775,9.670504806341633,443578,113152,4113227,1663475,5.857049004476133,716356,359018,6401948,1921570,8.518176775927685,38030,3317419,846587,5542825,6.741441942684925,468054,399795,923710,1186413,1.1911868540404411,369275,1942343,1491618,1044412,1.1032700658176977,65956,355865,2271902,1647036,5.242138863575434,1820752,1358229,2599596,269240,8.673478448852332,235076,1125714,8169900,1297095,1.425312708881804,525583,378232,31612228,890001,4.6243631647671215
Luxembourg,LUX,2020,1528378,4719428,3498803,333964,7.325696844476946,86424,52057,9728796,107729,0.6169283410776005,493448,875138,1164256,138518,5.043067603085617,1215347,4140006,6614679,299682,6.757912406136253,476154,1066259,4435274,50184,3.411736441601996,130931,965069,2795467,448509,6.305437648181229,1993427,564342,53553,1363351,6.683110549786603,250958,774264,5344784,21111,4.632794469273692,285897,1304261,1558161,1304647,2.289061382286937,147441,74892,1177459,1750777,7.826222808734194
Madagascar,MDG,2020,1091422,1515752,5469353,199273,4.098019993369579,220746,1337756,15670548,577428,9.146758118912649,5174816,235947,34228066,396516,0.9140440928574856,569314,1167396,9388772,4045750,3.4566004389448257,661648,929278,40380386,927267,8.191075836495994,430261,1424466,8409253,654215,3.385433899371436,1930538,621568,14307548,425549,7.298972758800964,1457486,1539883,5280920,1151908,5.549862090674756,300928,3282694,14854950,1460550,4.560280864366842,2844699,883292,8506532,555371,8.962681551114866
Malawi,MWI,2020,93256,450364,43393677,565879,0.8277708268693362,830468,213434,2950649,2709666,0.4305147940306486,322721,4094084,11032136,699920,1.8127283633103088,412214,1826069,1545924,2317627,5.623935098114774,155846,511858,11919697,800173,8.765017654330299,1084145,111269,501618,112241,9.034919758865612,1500438,497258,5915072,847430,8.500799176984405,92849,1590287,3934265,270373,1.6811765308895432,25575,923293,2238208,2091371,8.92296056636893,1310989,395119,3930527,1239870,6.322682763399087
Malaysia,MYS,2020,2068259,137679,10881277,1963515,2.095313803610156,495598,584536,206164,1717902,5.275403244054787,1026857,160522,723354,2834407,2.9460342629086167,1166417,405982,24797129,2231143,5.433266908219522,3347759,1577499,17937626,988653,6.936250577492301,1124653,1041032,3159342,1239034,5.907943057192463,136252,1782922,27160053,631600,4.805816799284762,627380,255655,6982080,256093,0.1486858618820474,1532375,616171,1076758,472213,2.744657139691331,351416,2405230,2636202,1796883,7.734756166573743
Maldives,MDV,2020,433772,236967,3011207,599694,9.578300304031965,914446,935239,3992173,86079,9.15451826048118,1698489,778723,1930420,2312827,5.71381082605535,1078380,442798,9220348,313182,0.1193711747182513,897852,356168,3399750,491440,9.806000122027264,3215414,2051715,11559544,402044,3.0814696270394077,850226,1475876,485926,1961819,3.499327460593852,1910297,1585768,3183213,418879,3.289174702477164,719252,1456343,2054096,175227,2.931628989079585,1279682,450503,16274364,384414,9.157859707880313
Mali,MLI,2020,1703826,387510,2737730,1765988,5.714808351422656,229510,1152763,42038998,201256,4.437122016117935,76811,4315817,11008710,459409,2.3784044667968987,384443,134965,251302,1629730,8.928419476111857,434160,876971,50051840,268603,6.226527494628758,538058,1094240,13252629,451917,6.705130586065801,36637,144669,22306482,2399546,0.2338785919012898,5144786,442537,10220947,405470,7.53671774663529,556635,2227634,29709409,234951,1.2534638726279113,74651,87913,7526636,1746263,3.4652068130715685
Malta,MLT,2020,1571236,1249758,291702,1124147,3.9708046672584296,329985,1859760,2224482,43599,8.878306053585453,624419,2645188,1722453,12747,6.321105776246841,122147,160592,24896493,1626902,4.4820549583108695,36160,999718,405114,1251773,6.093364467807151,812910,754549,10116740,117386,8.518484126646126,533427,1499548,74181,491632,9.684108660214894,2524950,82794,4292628,233336,0.7323761398916018,712152,3746716,17803220,21182,7.573226899204614,639293,2386318,1848961,977073,9.274633500796853
Marshall Islands,MHL,2020,651706,2696953,13408961,629648,2.320887185470224,482776,478654,2262942,1119993,2.351378391994295,296713,1280,5870032,4507230,8.238204306151141,3087446,828001,7918713,556569,9.596709363455956,305221,124158,29695851,2811423,2.14411100193286,2289268,950566,66614,2928574,5.676645939784742,810938,114416,2314606,1100276,6.50973713341235,143942,481986,4556900,21631,4.706017611295211,251237,693401,3646870,1061435,7.186516638700642,211665,178093,4104435,884811,0.4399780228783323
Mauritania,MRT,2020,463824,620433,11274035,903203,3.6337025138302135,206970,797584,967568,557666,1.889587138519201,192572,2759232,22136772,1417157,5.511925869320439,1004619,508580,3779642,1279485,8.39277576653579,134945,47280,8182766,347198,8.180052310601166,1169117,567444,3233989,189011,0.8968215894536757,2538757,742255,30249015,455773,9.743149909977696,1010920,834714,2623144,695802,1.6993894914497654,158687,286716,1933561,188421,1.5428260994450749,1197140,169936,6209485,2189452,5.678345570907359
Mauritius,MUS,2020,1823017,3053093,1533021,113497,3.03696877324096,821221,1000968,8134157,36010,7.607708654717964,1556561,3369965,1683153,709482,8.071364732289952,124204,124662,5544309,753353,9.54526491085822,3242756,902524,3523969,1260787,5.300335403289615,350051,1826253,65395929,1383537,5.438189647054504,978469,1391600,5981714,3210,9.969779534646118,1140285,409170,2771673,253022,3.616730133630652,1424235,2167636,7272509,777680,5.573354494036701,3233861,7388684,4308415,711703,2.807077709069523
Mexico,MEX,2020,4106317,185171,6709905,1568998,1.2634147620750624,3208648,1188349,6587925,1663642,0.4401215547383752,624090,1428630,5998879,58820,1.4998839206133718,1663787,1148555,5504634,571032,8.7174427922618,1225693,692160,23391574,2161229,2.009282352183981,421984,88798,2866178,76789,7.891364169446464,25330,948176,184034,1193236,9.898394968119826,168721,1402714,12086715,319124,2.861375780941934,4269436,681181,3872643,709780,3.889490028822541,1577753,1394965,14025381,949050,0.3562303771273389
Micronesia (country),FSM,2020,517721,1669252,8920641,787552,2.9562670518542253,1995912,53903,523842,114810,9.516061758200152,724030,1412886,878695,267941,3.9141651715160855,794019,96791,11088736,1904438,1.899287021583168,1363945,293168,12029629,2924083,9.87545525013694,391761,3415460,16437457,1388685,9.815233992424895,1411876,711713,19194962,62744,2.752330689104713,3357777,546218,3226145,95654,7.2807753884238755,1492991,1538694,9233765,98714,7.097446888905042,1549828,71135,21152047,31730,8.79843210837324
Moldova,MDA,2020,308120,353751,34202023,697564,6.070226241364303,743743,439356,2517844,76911,3.517275730459856,1553608,421981,2697991,1038191,5.183135612594235,596986,466478,41704194,1335516,4.577633175875636,992394,728741,1567327,155483,2.398194897430901,3039370,178243,4384464,3620527,0.030380845442699,204865,109901,7980215,862847,0.8977805325527899,86656,731300,13234929,2096089,6.129236959568529,172671,55151,405489,544947,5.029887019037642,994996,410827,10394593,502717,2.137311319121772
Monaco,MCO,2020,264739,456530,6658849,687932,6.47124297372778,1424804,1066860,10568809,331089,8.54105013593986,174058,357389,4667577,1377059,1.9172930940606248,295840,753972,4528167,753029,4.5993099881140855,277178,38427,28224606,1281901,5.520870571939277,1299884,91703,3524845,21182,2.851715950786988,381849,2057602,9968497,473035,2.38275354562795,206891,689756,36991043,1428843,6.405385486056396,45487,2597543,8112099,173136,8.316447022076417,325106,1228598,1184543,1543521,8.693210475724086
Mongolia,MNG,2020,1501660,3148831,1119260,438875,1.362725002482511,114705,1750124,32579442,483291,3.7165706447766658,533609,659716,2570555,2500774,6.841793851062498,601111,942170,58723759,450464,2.835136710618138,771664,67321,1202835,845867,2.3666692894861097,241879,166555,7823540,2929026,1.8064117173282268,125950,971502,4270953,107219,2.1311131060323287,442676,696793,4422560,216955,5.464030926357372,58436,179459,4379316,605869,6.89927916630674,48066,3825876,7878879,78661,9.74172089738006
Montenegro,MNE,2020,2459441,486541,5426778,405134,6.60561372048707,815969,471500,5227075,2600031,7.304098397727206,1702347,766824,11625672,189495,0.5265892847322762,2580971,1002017,8413116,205471,3.808475216211831,1751863,633224,943523,123401,4.116714166606874,3542818,1747224,611677,1814020,6.117306455638567,1510625,3937893,6274448,468842,0.9640353794686084,907050,594147,21158402,362855,6.75118106539882,961266,63322,27058113,918858,5.780216468647266,21168,1021055,11730507,1151420,6.033284468661996
Morocco,MAR,2020,288688,490556,663747,653463,1.0457928272751038,263933,4443478,9873925,1861928,4.432811960726024,2377266,2617515,3318808,177195,5.815849007413112,90141,1032948,2344314,849158,6.651468409945711,1134502,3144982,5449360,274841,3.940939714410654,4501991,450585,3064929,47678,6.534032094832813,723514,1707874,11459271,2719946,7.656567583632321,538665,905377,1843123,47474,2.009812612925613,4582602,411304,105578,2065843,6.438911457222531,2206928,1643496,278398,112308,6.447086561990508
Mozambique,MOZ,2020,935813,306606,3774240,692176,1.929188099736293,820540,67215,1131545,476187,3.7252358583504823,1435687,365522,7920065,126803,2.6912137349094745,1629242,152718,1954630,474566,7.946460651420393,171716,568895,10509734,2967051,9.58381677413607,836645,159921,2787496,504669,4.907634265081295,283153,1230987,3000781,2136607,4.117580887242936,977757,7788532,1426060,119294,3.953138054549955,333007,1462391,4438802,194333,9.089751236249487,232128,1404524,2204110,1943524,5.583068858605039
Myanmar,MMR,2020,1046400,648741,9177623,86327,1.2197006313805758,1897435,34094,20406563,2104673,7.131209066959212,172672,27304,16907301,764309,0.9612126889051598,1137522,1265554,4675020,342400,5.151031168528107,598446,191329,3927665,167880,3.11684193277825,3328356,482013,7594669,1038820,6.425888883072069,699791,184962,16340098,558291,0.1359870235668736,842938,18688,11993825,1554690,6.875703981336398,190088,279307,4730523,235281,5.4233996201212085,611038,1746096,5548140,141646,6.007769622544172
Namibia,NAM,2020,1225957,2954023,8951236,2405724,2.612180677862788,651496,822529,5326265,729542,1.974294238898151,112219,326042,1295059,185698,2.015984754486885,467619,1079331,16839469,855334,8.125816216566244,876269,747120,2745095,830511,0.9629854276461958,825476,34031,11312813,609185,6.459760729753049,694809,3403599,9074750,2244119,9.81907350654905,92820,4544513,3844662,1204176,8.413732746159416,1221856,4539436,18247530,684063,0.0604126760417478,279787,68766,1156303,931708,2.29741543085781
Nauru,NRU,2020,506184,309670,11518118,597508,5.491864520695284,1768586,24141,815444,1440726,7.092757881608685,172759,1110337,14980373,1707186,2.720015082204709,1527330,1310101,43110,2131219,2.1447823300851843,573573,375261,8201900,157288,4.592385144453264,599145,1047006,6373307,378937,3.949322684905749,688916,64743,14322846,167499,4.997539237006104,884855,769593,46665532,562444,5.250338843642325,1305114,288203,13825793,1524687,1.1474950221032587,367664,142346,4609567,390037,9.6155300992031
Nepal,NPL,2020,2011584,747228,24430333,2176435,4.033047471515847,477215,2033374,1861118,1883549,5.70334257947525,421676,406643,1051913,1786642,1.9965953934974576,903383,435272,8133215,1944397,0.7631743935876512,46466,165935,5247598,338514,1.9036067997456476,401187,913775,3716376,63196,5.994621428154829,1520705,525904,5813962,96389,1.0087983319334937,82017,669936,7851947,238473,8.875293731918418,647542,316799,2138628,1428028,2.028039244506188,16659,3612725,11326990,1820338,4.885306271489307
Netherlands,NLD,2020,942031,155201,26167932,499062,4.776459809661633,320778,828576,3994561,622721,4.665946018744894,601385,190695,192299,132067,9.017037745983204,1209259,38475,23357613,3235930,3.844984535549868,118526,139366,5353401,120376,1.7111511482889783,1737854,17555,4008181,851491,7.453881160075024,355831,1663256,5460145,832106,0.5419134926185709,208084,758325,9147012,500207,8.04918092478305,976683,860605,5915753,431183,7.858653858054368,843147,3311008,1429034,1077488,7.59905155434545
New Caledonia,NCL,2020,687257,3386881,9481270,1539931,5.816827904106551,1177963,2024292,910977,356627,2.161701465510774,414023,636644,736336,2157199,9.483923431239184,1072414,914779,19317094,29727,0.9363108349554096,294270,642422,8230570,1144118,8.469087305218675,1797140,1028835,17973746,566455,0.4037066429180957,96047,21639,10469392,277541,6.295856010076239,80761,1242542,645825,394776,6.377608198193158,1369865,353864,16070175,1135299,1.749634814122648,48014,2262358,2895285,371469,9.9872203031091
New Zealand,NZL,2020,1131625,2296086,6142003,1368006,1.6964413170547854,25873,3359895,54730750,3003192,3.5951058318252613,2015377,798941,14912990,3804151,2.5728700212627564,191134,2333352,10853271,1360072,0.6586856881557102,1212474,214466,4935113,885386,7.958257177255534,1663334,7394767,5790330,936912,1.0297940037475417,771767,64353,3775050,3155576,2.516231101706972,658617,26391,9067113,193190,1.5108550291199383,3575757,1351779,3659512,3378772,1.197140567346281,848383,407744,18787101,979321,9.004332039290805
Nicaragua,NIC,2020,63271,442214,103964,236880,8.388100384697804,1194834,1083670,31747341,1073461,8.380401495757269,627307,282240,3000595,295839,9.753423985431182,598996,3676226,3306001,105,1.9177055224977133,633993,1753716,12928687,350661,2.8116616054336574,1152813,411547,9274836,48738,8.315562155123374,275866,977181,14168533,436979,6.00876855954045,2535716,2177449,5522429,31387,7.910896127430435,848750,929366,22270731,751341,7.912835450448955,449341,1675864,4420747,260842,4.981408647096747
Niger,NER,2020,1043738,757438,29217897,892867,7.687209457957632,81065,658879,3383260,822605,5.713643980661143,1433914,1998823,902961,185019,1.9895820178374568,1146202,1701227,5022058,1660487,4.893388128714774,488693,485028,1507034,319086,8.601090950842798,108115,572411,13805986,137108,8.812563685523019,294252,1897542,4037765,327813,4.91216403262024,1876,511866,32077328,19020,8.549161679422394,567414,766528,9003360,1040764,5.263282925575551,2487526,765747,15874667,849130,8.842263567287457
Nigeria,NGA,2020,410841,1527815,4701831,449490,9.192204968343598,693923,349211,25846559,200896,6.895362382932252,6290,2713571,3433343,862408,0.2059981660200138,1981443,770187,36206683,1305978,6.854464089825191,287256,568568,22323449,669294,5.9992533848213725,1540992,310750,15805162,3517688,8.597419298795382,2199108,501661,701952,982015,4.6210515850037295,122930,577405,1996984,738126,1.1245815256991876,354144,1763811,8784272,19899,0.9861252499161476,1938128,1348724,10838911,583892,6.9895338579897945
Niue,NIU,2020,1677445,464144,3154560,22658,8.999223414762751,1786004,3062579,19771222,1157564,3.211581425082964,304255,388549,22087924,1809122,1.234428812938022,376131,1459248,3383712,1998337,4.309936672554623,65036,953666,22158061,1846450,2.912820169552943,1159144,1278748,21041546,87773,8.10808709151142,2198905,569314,3151785,329750,1.8153424226834105,298373,165886,23354675,23765,6.807313810380515,528335,274129,7433717,455513,5.138509378721448,211879,216978,2804671,188864,6.607386843860659
North Korea,PRK,2020,1347690,1756646,2902628,402283,2.795051512857597,660697,384568,13028731,1564240,7.204103424756344,239610,275858,14641252,483269,4.591333625776803,235881,584109,32747805,2638946,0.4085965170380645,126101,425878,14775641,3005294,2.8867528377967746,273343,764013,6662638,699467,7.952723315508003,286573,1061344,3641103,357389,9.910189460778083,1129028,1698982,2869890,4527216,0.7092329439096234,50091,29686,3073254,120051,5.686869658921458,1899293,332892,31100534,103220,8.797288817125914
North Macedonia,MKD,2020,316572,286963,4726237,423370,2.5378518332836864,353695,1589722,4631399,336487,4.728317760135451,760774,841345,11106216,828706,5.906172923017435,151820,5769753,32472968,1493832,3.093959443534391,174288,93250,28249013,332093,0.87279793301408,1411919,3806,3247003,12751,6.724748820828781,624398,1837625,1209725,828112,8.065451325742252,138395,215770,3204456,110578,8.689455816714684,200884,176183,1758474,835385,8.297429516549448,1591206,426903,5758880,695924,0.7824598093480406
Norway,NOR,2020,374874,1482321,7844355,2156940,3.20491642710616,519701,362377,13474325,2739708,1.5965582594278571,2588202,23564,12486779,990771,8.953216871115385,1211870,301238,5180677,153860,6.822598066973853,416115,619823,8031887,371971,6.330240704048257,784228,8487,18558800,1146182,9.373514593531992,1953278,1053946,9638973,481952,4.900357564324532,681987,56884,8611209,161601,6.805007493197151,1590777,1163542,1431555,8885,2.8930251430614877,675294,1557681,131720,968371,0.8126898310341102
Oman,OMN,2020,344986,1450737,423553,230202,1.2563221321462317,1908901,708599,7526745,547151,1.3389933030074097,801440,120498,15210941,405578,7.257665805289577,12852,53586,3450467,396251,2.574689212026998,441144,1136908,799515,1327242,1.1827722481231762,340378,349765,1936338,1313620,1.55976002747944,578692,1693243,612385,408638,6.19096929960662,898135,960652,3297493,1231583,4.6995123657125415,500085,269699,186096,83228,7.666615934724057,424363,190575,7496228,1959058,1.791354119964832
Pakistan,PAK,2020,324199,1451559,1671385,415916,5.550623705066579,10931,657699,592174,11715,6.47248130341083,2344308,72681,8279423,351596,5.411502571857224,262717,590978,3076277,687761,7.301991532570465,125201,124929,14459866,21466,6.47674237744242,147602,347135,21892320,1373375,9.840461758004077,673987,886766,18983280,972093,3.5792295498569446,2239533,2212293,11045153,1211699,2.5989882308349523,956646,1950954,2499693,6972,4.8778353039096185,339804,1785402,2845235,7319,5.778895788538312
Palau,PLW,2020,365581,915891,10863808,93432,4.930195342149215,648562,189690,3822770,1394775,9.47489405274316,838696,938791,9783640,1918126,4.415487488761205,307831,325093,17144976,1389314,2.371552175810895,224953,206476,12428523,697099,1.5003979588165917,1057588,157524,21915624,1916034,9.153943815852518,600218,834811,5956158,291596,4.0670209590582775,299991,1343047,19415336,2500991,5.47544468162343,2687576,869279,14072507,800880,5.290598608589118,92484,368216,6694282,409011,1.8570631179176025
Palestine,PSE,2020,1303386,1618487,483219,1584589,7.639206270304607,1988780,119202,18876554,1312834,1.1197161151984447,789290,1956122,10072029,70818,1.8331235728469009,455105,197958,12017999,17446,5.031054251961997,2055455,438515,1825705,266451,7.008369153786419,146957,1316468,2976799,454490,6.52129163315057,9560,655367,21550672,1001092,4.092588604379123,17,657669,3155720,196850,3.247241226051533,703604,72792,9063932,1013558,5.199304568279029,147147,131665,3724471,773336,9.4472464174981
Panama,PAN,2020,182354,936295,2035150,214377,6.6362152659935525,716029,165062,2632711,546017,1.246331550711729,82598,2241661,316545,417091,6.914679230909082,2385476,154329,811022,2107705,2.6697402397443004,173327,1339486,7288117,4535145,1.2140991031938897,1685264,607840,11661283,13110,7.024607345813605,960806,1678932,6837885,1384523,0.3509766719275509,1863309,181561,12341450,1162715,7.213403169270244,872669,358266,3257043,1018999,1.4000217458800943,124314,343073,697754,8579,3.068404869179528
Papua New Guinea,PNG,2020,423820,435754,7079061,2411118,1.097160179245947,632980,2113871,5120497,1734774,0.3078158870244096,134953,1478164,3297295,1805210,6.193092349423886,596830,3044761,11340533,893039,7.732520875308778,908106,1236732,9547972,444830,5.134005844628856,569643,345455,2369787,462606,9.117570218304104,151582,435557,1212791,938215,6.899205512274486,2801824,641993,3799306,58301,6.351410757407399,556836,408318,10020652,708337,6.930045627097792,854307,337922,26292629,6659,7.412826994870479
Paraguay,PRY,2020,439842,1665066,2068068,233000,2.684438249473795,1857172,1194425,34041856,236869,0.6905686780856557,682152,169732,684965,834361,8.459188880811249,412720,827798,15334902,672638,9.01586224924533,175001,2361037,2209986,395281,9.712659211227033,2694009,931907,17328344,335243,1.3219135241886182,951338,750768,7675724,896088,6.227014054768082,1820340,53184,572217,191289,5.180629815906109,3526685,772986,8940489,1419686,3.9038401470579673,195479,508328,5928053,405662,7.482612166774528
Peru,PER,2020,745044,83295,392093,524422,8.612004816254125,576569,3722805,9178522,1022339,7.62961518837006,1313491,326322,7520796,1146978,3.702219314587935,728541,109553,5664040,818280,9.137523555503996,3366049,3654486,3737421,603809,4.578999146182488,1619308,295257,882066,389570,6.640161768853403,796807,202037,7064912,2290872,1.1865419500716212,1236290,383211,25301430,1195725,7.227952285641788,401846,916234,5006548,656752,6.662303454336663,1794586,31038,757654,170509,2.4493608270399667
Philippines,PHL,2020,475164,710553,21644333,160424,5.99137376456402,834622,603597,5054355,692885,2.2118776303387366,867465,497425,4544078,1129355,8.098590594291347,3050474,373785,16258108,662579,4.643059362590057,281031,421871,3371791,2222599,4.1928850862087845,584456,1389,22468954,306721,5.4919578761823615,766700,1825575,2804742,737055,6.725680052747446,502461,1515201,31393115,222929,4.409134422662734,341671,926232,3329183,856027,8.865497816279339,360149,617727,30852594,548390,7.726612633583064
Poland,POL,2020,191941,170779,6974104,2681764,0.2757665822574451,534030,624162,12428412,1054776,8.97517918985071,232154,442117,18359287,722176,0.2901022482041715,60829,1873511,9161219,34909,1.386712101693233,2457774,41814,5789105,519262,5.29455741063389,750788,359523,11494097,240639,9.286489361514718,422671,68777,7607092,538680,8.886739870150043,298669,2576066,3471227,969009,4.698013819041167,77075,76115,2216933,1287748,5.987397750874907,1800477,1524167,52268836,1254523,7.541192703779467
Portugal,PRT,2020,1354634,685063,2274533,637597,7.610921275247548,1542950,71737,11573389,5219207,7.706976528710459,320714,172052,5287767,654874,3.0320648001709207,1540113,4988684,14030481,941855,9.995082627665502,964408,2611050,1757040,23186,2.72687022344805,33113,566207,7151382,178359,1.6843098585419911,1286751,580202,2811205,2878502,4.352921302500349,273403,379981,5335234,295762,7.938271670923241,2377220,742146,37021425,356584,6.560692267994979,847551,9997,386527,617696,4.267453933247072
Puerto Rico,PRI,2020,5370728,672886,5866865,4000629,0.4404966145196221,547458,1121964,16995358,2749786,3.874069886937278,359746,466441,3841684,1150660,0.5476811851580843,409032,1322752,1449569,3064185,9.547091435217345,859931,37892,8132394,260672,9.713609602123958,272278,6924,32550138,608248,1.2860119344773502,946686,1031132,3152429,1291957,5.436375794488316,359994,252472,3519000,325233,3.614165137712941,387327,24930,10731466,918669,6.308296963771658,239828,890,1588668,2113707,6.33024158840064
Qatar,QAT,2020,849336,266845,8829217,488906,4.803081638462199,606897,1061628,4722489,1860398,0.3021273297796389,23215,1080110,4760892,589895,5.776059415669029,1507206,236674,3873019,609589,9.44602831035614,250691,123127,5962942,265980,7.1399681097887004,721639,115926,6556966,651185,9.451017211250722,323823,1402571,171083,550973,5.292350059211609,2673442,706354,22228585,18120,6.697593380362237,537890,893800,7436255,1449441,8.000784707657349,1732517,394922,7080886,231491,4.594128353690898
Romania,ROU,2020,152667,1488305,26162994,811862,7.73977022892517,1688567,2812788,11742705,182042,6.378682675508677,428306,1584200,15446445,3041129,9.088924913665029,2156758,1914990,1026775,2197358,2.186364672453327,1066212,498289,1580744,1803086,9.455239720216994,3888816,327017,464483,985236,1.3113742759906457,98872,934451,4778720,1252025,2.0428169077326865,1969642,33080,5300961,16736,0.6291784171406889,334946,233608,22020474,831830,4.9203022265932885,2139105,2271488,17375008,17541,4.300471711242392
Russia,RUS,2020,370239,1678019,1232060,2512282,3.176630300065039,356130,822211,11517616,916590,8.725759239906917,1103121,1513141,24502831,2704,2.164971215557406,140738,1973484,51142607,936130,3.6278435122034343,50765,2527658,6251746,399986,3.571005627568413,1424721,619111,5147266,5633,6.728313625677652,663862,84455,6762887,652395,3.8270459070407,414605,1239518,5242439,1323451,1.6133974968293174,346840,511621,7046088,794381,5.895710193148268,376265,883475,1427405,1993799,5.744450777989826
Rwanda,RWA,2020,403814,53137,1367689,1730596,3.679855464341294,335021,1044386,3024124,1293646,5.547827306868351,1249452,1250102,12856230,175713,2.7354241564231385,306808,210146,22045982,1095822,9.850029685939578,221856,764294,22979712,374011,4.440754564602778,490314,241278,6846771,56355,4.603746256344396,1558250,807393,16833760,602509,9.834778178609149,588528,188355,1679257,99131,9.91740684270318,31578,449508,88244,86620,1.5390508664181768,64268,2960847,204986,826226,6.064988672529424
Saint Kitts and Nevis,KNA,2020,3256704,263891,13890159,1442622,5.507393486397212,667304,160569,6576445,1354229,8.051561328546333,1809209,55710,35354897,817634,0.6031029378354757,1614096,779341,18757798,411495,9.194040978480343,143643,353892,164486,134666,6.245553098501217,923370,260296,7186473,424182,2.8878036387412065,118932,302056,6302612,1196485,9.965447211978642,3888222,35358,20324467,141132,2.0475911209801745,146873,1574658,5019128,22222,4.779808391045036,174777,132334,16561712,1313027,7.046298735810169
Saint Lucia,LCA,2020,912810,18467,1778073,1104067,9.969956010965635,66140,207820,8363468,2536614,6.044515840529292,701946,481243,13708156,560365,2.231103095243312,145054,252608,2517233,618311,9.55172211002114,226009,132889,5171632,519922,8.843059162752331,2408651,4832043,14520421,1081824,5.412751104217854,3201605,1461313,13773252,347445,8.700788584668954,323689,1297915,3167460,245407,6.789034361131905,24976,275551,7434301,2843524,3.452694668760432,59800,930409,16690115,1330465,8.29299825355745
Saint Vincent and the Grenadines,VCT,2020,114154,1073244,14343786,768262,6.422823898866536,571721,235609,5323642,1522758,7.058244492945929,782486,117252,5403675,2686246,7.294269692788405,1241218,2490247,30574335,96715,7.22218053804681,1390632,484269,7751920,220919,6.164454086716592,145464,2570700,508768,97666,7.803701345487322,88649,1356536,3708714,2270815,6.936473491973564,2159795,1232357,2029790,2610607,7.57614517905901,484030,1110282,16733050,417116,4.219888643220142,1099836,82139,16149025,281112,5.799556569020461
Samoa,WSM,2020,1490015,37821,2515397,4023,3.9192251595598817,523934,131064,5535162,427226,8.262454676548304,587397,549245,346050,1738283,4.3099226162621305,317703,1527191,8011902,3758097,6.633819105219843,457899,328957,3894007,221010,6.107246776529067,323250,405588,25929418,1005463,1.033558654269392,69366,472835,22666936,4333272,7.114832240558657,1659455,87444,1385507,1513250,7.298846717605791,279039,345040,18894800,3130870,1.307845430333271,337118,171636,3830346,2417805,1.8630660145234057
San Marino,SMR,2020,1106079,874928,10980441,815533,4.935674991860864,1146543,609827,12536080,250202,0.4408401498073677,3957260,321754,6719833,606252,6.056899359267468,851822,935989,2113729,77910,8.659520999012436,383877,1256128,3913532,526057,8.24566250500627,3374826,1363126,6242888,101718,9.6980698157843,66612,580571,1506323,154689,0.1655931967112522,18000,638385,3211543,522334,6.9037172560882745,3092101,236698,32215640,280108,8.963405624405977,3607740,142949,2557989,508327,7.002198936585605
Sao Tome and Principe,STP,2020,184675,1533624,7353806,341377,9.220412353667935,1786014,2346391,12286434,2761329,7.186416596689373,1523455,1482391,3354760,1827081,7.230940514200411,2147856,1662965,1765981,1110698,0.1755659405152076,1586864,433217,21981756,149260,1.2381157818124822,2155024,3471729,109172,451790,8.402957402208115,522019,346820,10678533,130188,9.403752509228696,505028,75677,10200980,2423928,6.230863249813722,203238,1703436,8130389,32035,1.722692982405426,1094219,2622317,28625002,165918,7.684892449803669
Saudi Arabia,SAU,2020,1324275,560990,1044206,1515373,8.91905056743046,355384,1336904,6891589,98791,3.8487568846310696,538296,34267,8190782,195463,2.340110045808471,2020965,493894,13583371,405404,6.674799029887611,673418,2312373,1942964,646947,2.844871536583684,602503,158736,7518443,1360437,4.410928160478077,1080507,1636192,693836,511209,2.493968144791108,3477451,326468,3043512,680369,2.7666617400168536,888415,577137,4440818,727626,2.7499190582831656,3296783,1563729,1234448,604570,9.206532342251345
